pair,label,split,method,seed,direction,n,mrr,utility,harm_rate,mean_loss,action_rate,mean_movement,full_minus_method
mkgw_mhyper_native,W-N,test,Random-shape,2,tail,4274,0.5385987910318285,0.0030016864772430224,0.15261371420045708,0.00831578621684863,0.6944314459522696,0.1344992980814225,0.0003854379029620256
mkgw_mhyper_native,W-N,test,Random-shape,3,head,4274,0.1931843579917949,6.691279681601688e-05,0.19287803383354052,0.004496555545658911,0.6715021057557323,0.13281469349555453,-0.00015096492939068243
mkgw_mhyper_native,W-N,test,Random-shape,3,tail,4274,0.539774933556753,0.005766853270960696,0.1039192515449917,0.005394429428927396,0.5631726719700515,0.10800187178287317,-9.151168779477738e-05
mkgw_mhyper_native,W-N,test,No-gate,1,head,4274,0.19607587058369008,0.0020505998069155337,0.24941506785212916,0.005555326409065952,0.900561534861956,0.1479878334113243,-0.0006444807119413079
mkgw_mhyper_native,W-N,test,No-gate,1,tail,4274,0.5421002174349994,0.0021338864166335907,0.17898923724847918,0.00876338481875297,0.8671034160037435,0.12656761815629383,0.00013375310932556303
mkgw_mhyper_native,W-N,test,No-gate,2,head,4274,0.19424154929799342,0.002965045184600145,0.26368741226017783,0.00445655570044621,0.8818437061300889,0.1224379971923257,-0.0009373256246739036
mkgw_mhyper_native,W-N,test,No-gate,2,tail,4274,0.5369400048400252,0.0013429002854397165,0.2339728591483388,0.011762860014891657,0.928872250818905,0.14905240992044916,0.0020442240947653317
mkgw_mhyper_native,W-N,test,No-gate,3,head,4274,0.19340340586698757,0.0002859606720086684,0.25854000935891436,0.005693712483331405,0.8986897519887693,0.14640851661207302,-0.0003700128045833341
mkgw_mhyper_native,W-N,test,No-gate,3,tail,4274,0.5398473451457083,0.005839264859916091,0.17337388862891903,0.008195846529590396,0.8687412260177819,0.12631024801123067,-0.00016392327675017216
mkgw_mhyper_adamf,W-A,dev_oof,ADC,1,head,4276,0.18733686067675118,-0.0004485359071333123,0.05706267539756782,0.0017904122046256213,0.26730589335827876,0.05332086061739945,0.0
mkgw_mhyper_adamf,W-A,dev_oof,ADC,1,tail,4276,0.5195788835350227,0.0018843214230475818,0.015902712815715623,0.0014366741635830798,0.0921421889616464,0.015528531337698786,0.0
mkgw_mhyper_adamf,W-A,dev_oof,ADC,2,head,4276,0.18838131010715692,0.00031041209510344355,0.07015902712815715,0.001553243820374919,0.3571094480823199,0.07257951356407859,0.0
mkgw_mhyper_adamf,W-A,dev_oof,ADC,2,tail,4276,0.5198805829065802,0.002290733457498616,0.012862488306828812,0.0014105870266681356,0.0853601496725912,0.014452759588400374,0.0
mkgw_mhyper_adamf,W-A,dev_oof,ADC,3,head,4276,0.19246041689575216,0.0009102765025586043,0.05402245088868101,0.0010238681214813994,0.27806361085126285,0.05681711880261927,0.0
mkgw_mhyper_adamf,W-A,dev_oof,ADC,3,tail,4276,0.5165171194901783,0.0022761738397462025,0.014733395696913003,0.001641121880913938,0.08886810102899906,0.016300280636108513,0.0
mkgw_mhyper_adamf,W-A,dev_oof,Random-I,1,head,4276,0.1877914041891855,6.007605300992475e-06,0.05515000843001416,0.0011834889106421065,0.2775669070634185,0.047743262347729666,-0.0004545435124343047
mkgw_mhyper_adamf,W-A,dev_oof,Random-I,1,tail,4276,0.5184111219893138,0.0007165598773388121,0.011270183251608498,0.0007872657886648423,0.08188117525650661,0.009129440400029276,0.0011677615457087696
mkgw_mhyper_adamf,W-A,dev_oof,Random-I,2,head,4276,0.18790774297175258,-0.00016315504030090381,0.06322176371614774,0.0013831719088023742,0.3473182068282908,0.06237437743481491,0.0004735671354043474
mkgw_mhyper_adamf,W-A,dev_oof,Random-I,2,tail,4276,0.5181937178773224,0.0006038684282407679,0.01201593364073802,0.0011113152378321028,0.09515139092662034,0.009634501690808572,0.0016868650292578484
mkgw_mhyper_adamf,W-A,dev_oof,Random-I,3,head,4276,0.19221957980954282,0.0006694394163492605,0.04986323883905582,0.0007600901917773888,0.28502832079999896,0.050057179587677046,0.00024083708620934377
mkgw_mhyper_adamf,W-A,dev_oof,Random-I,3,tail,4276,0.5151489197709115,0.0009079741204793882,0.011212337270761385,0.0008483801372380867,0.08190339108026302,0.009122165476861888,0.0013681997192668146
