split,dataset,pair,scope,seed,direction,magnitude_bucket,bucket_order,n,observation_rate,delta_mrr_contribution,mean_delta_rr_within_bucket,harm_rate,mean_harm,mean_benefit,n_harmful,n_beneficial,n_unchanged
dev,MKG-W,M-Hyper + NativE,seed,2,pooled,"(0.10,0.20]",3,2192,0.25631431244153413,0.0025797717543811576,0.010064875932238896,0.07208029197080291,0.07413596885668707,0.23455341057516815,158,144,1890
dev,MKG-W,M-Hyper + NativE,seed,2,pooled,>0.20,4,0,0.0,0.0,,,,,0,0,0
dev,MKG-W,M-Hyper + NativE,seed,3,pooled,0,0,1383,0.16171655753040223,0.0,0.0,0.0,,,0,0,1383
dev,MKG-W,M-Hyper + NativE,seed,3,pooled,"(0,0.05]",1,2667,0.3118568755846586,0.0005661940329312246,0.0018155573189455692,0.19647544056992877,0.014026401103217541,0.010704061060328202,524,1139,1004
dev,MKG-W,M-Hyper + NativE,seed,3,pooled,"(0.05,0.10]",2,2285,0.2671889616463985,0.0010671083711018005,0.003993834043616016,0.23194748358862144,0.018825577679920682,0.01651120739846202,530,1157,598
dev,MKG-W,M-Hyper + NativE,seed,3,pooled,"(0.10,0.20]",3,2217,0.25923760523854067,0.004173813188659424,0.016100338470642937,0.06630581867388363,0.0628314160308318,0.21497927533946254,147,209,1861
dev,MKG-W,M-Hyper + NativE,seed,3,pooled,>0.20,4,0,0.0,0.0,,,,,0,0,0
dev,MKG-W,M-Hyper + NativE,direction,pooled,head,0,0,1984,0.15466167758029312,0.0,0.0,0.0,,,0,0,1984
dev,MKG-W,M-Hyper + NativE,direction,pooled,head,"(0,0.05]",1,4999,0.3896944184596196,0.00035843770306191535,0.0009197917293215143,0.22004400880176037,0.011310368441856736,0.006851404962171555,1100,2487,1412
dev,MKG-W,M-Hyper + NativE,direction,pooled,head,"(0.05,0.10]",2,4440,0.3461178671655753,0.0006876840458260431,0.0019868493107784864,0.2536036036036036,0.008913298844064957,0.0071081739307476905,1126,2653,661
