split,dataset,pair,beta,beta_role,is_dev_locked_beta,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,mean_harm,beneficial_query_rate,changed_alpha_rate,fallback_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged
test,DB15K,M-Hyper + NativE,1.0,no_local_bound_diagnostic,False,59412,0.3770871824567996,0.3745666587877784,0.002520523669021216,0.1208510065306672,0.051426742697372324,0.23682084427388406,0.46138827172961694,0.0,0.1386302430485424,0.5,0.521982091160035,7180,14070,38162
test,DB15K,M-Hyper + AdaMF-MAT,0.05,formal_dev_candidate,False,59412,0.374709153333965,0.3745666587877784,0.00014249454618653435,0.015081128391570726,0.015456673855149922,0.043543391907358786,0.0697502188110146,0.6715310038376086,0.0034875109405507337,0.050000000000000044,0.5211405103346125,896,2587,55929
test,DB15K,M-Hyper + AdaMF-MAT,0.1,formal_dev_candidate,False,59412,0.3747074586188013,0.3745666587877784,0.00014079983102296105,0.015215781323638322,0.016456754537246272,0.043526560290850336,0.0697502188110146,0.6715310038376086,0.0037778563253214863,0.050000000000000044,0.5211405103346125,904,2586,55922
test,DB15K,M-Hyper + AdaMF-MAT,0.15,formal_dev_candidate,False,59412,0.37483089939844283,0.3745666587877784,0.00026424061066443444,0.01632666801319599,0.02230970153349227,0.04586615498552481,0.0697502188110146,0.6715310038376086,0.007092843196660605,0.09999999999999998,0.5211405103346125,970,2725,55717
test,DB15K,M-Hyper + AdaMF-MAT,0.2,formal_dev_candidate,False,59412,0.3748966841328898,0.3745666587877784,0.00033002534511140225,0.01693260620750017,0.024823755950813528,0.0462027873156938,0.0697502188110146,0.6715310038376086,0.008432639870733184,0.09999999999999998,0.5211405103346125,1006,2745,55661
test,DB15K,M-Hyper + AdaMF-MAT,0.25,formal_dev_candidate,False,59412,0.37490747979574485,0.3745666587877784,0.00034082100796647584,0.018077156130074733,0.030568524477198024,0.046387935097286746,0.0697502188110146,0.6715310038376086,0.011061738369352994,0.15000000000000002,0.5211405103346125,1074,2756,55582
test,DB15K,M-Hyper + AdaMF-MAT,0.3,formal_dev_candidate,False,59412,0.3749797182489043,0.3745666587877784,0.0004130594611259018,0.018615767858345116,0.03384799420052061,0.046337440247761395,0.0697502188110146,0.6715310038376086,0.013181680468592201,0.15000000000000002,0.5211405103346125,1106,2753,55553
test,DB15K,M-Hyper + AdaMF-MAT,0.35,formal_dev_candidate,False,59412,0.3750561537994145,0.3745666587877784,0.0004894950116360932,0.019019726654547903,0.0349700910773426,0.04652258802935434,0.0697502188110146,0.6715310038376086,0.015267959334814514,0.19999999999999996,0.5211405103346125,1130,2764,55518
test,DB15K,M-Hyper + AdaMF-MAT,0.4,formal_dev_candidate,False,59412,0.37514112998486915,0.3745666587877784,0.0005744711970908277,0.019608833232343633,0.036167115228832765,0.04647209317982899,0.0697502188110146,0.6715310038376086,0.01782215713997172,0.25,0.5211405103346125,1165,2761,55486
test,DB15K,M-Hyper + AdaMF-MAT,0.45,formal_dev_candidate,False,59412,0.3751786929713853,0.3745666587877784,0.0006120341836068998,0.01979398101393658,0.03840684199892663,0.04648892479633744,0.0697502188110146,0.6715310038376086,0.019661852824345252,0.25,0.5211405103346125,1176,2762,55474
test,DB15K,M-Hyper + AdaMF-MAT,0.5,formal_dev_candidate,True,59412,0.37528073591022154,0.3745666587877784,0.0007140771224431483,0.020551403756816803,0.04037481538427799,0.0461691240826769,0.0697502188110146,0.6715310038376086,0.02232124823268027,0.30000000000000004,0.5211405103346125,1221,2743,55448
test,DB15K,M-Hyper + AdaMF-MAT,1.0,no_local_bound_diagnostic,False,59412,0.3755378116663803,0.3745666587877784,0.0009711528786019018,0.025331582845216454,0.05575328814632028,0.04243250521780112,0.0697502188110146,0.6715310038376086,0.04399447922978523,0.6,0.5211405103346125,1505,2521,55386
