pair,comparator,scope,seed,n,delta_adc_minus_comparator,direction
db15k_mhyper_native,Primary,seed_direction,2.0,9902,7.754887330702302e-05,tail
db15k_mhyper_native,Primary,seed_direction,3.0,9902,-0.00028804544277247636,head
db15k_mhyper_native,Primary,seed_direction,3.0,9902,-1.763904048414825e-05,tail
db15k_mhyper_native,Secondary,seed,1.0,19804,0.06077379614335178,
db15k_mhyper_native,Secondary,seed,2.0,19804,0.060895877384406084,
db15k_mhyper_native,Secondary,seed,3.0,19804,0.06350217873096939,
db15k_mhyper_native,Secondary,direction,,29706,0.02943796379859584,head
db15k_mhyper_native,Secondary,direction,,29706,0.09400993770722232,tail
db15k_mhyper_native,Secondary,seed_direction,1.0,9902,0.02769803021676058,head
db15k_mhyper_native,Secondary,seed_direction,1.0,9902,0.09384956206994298,tail
db15k_mhyper_native,Secondary,seed_direction,2.0,9902,0.031158282802893816,head
db15k_mhyper_native,Secondary,seed_direction,2.0,9902,0.09063347196591835,tail
db15k_mhyper_native,Secondary,seed_direction,3.0,9902,0.029457578376133116,head
db15k_mhyper_native,Secondary,seed_direction,3.0,9902,0.09754677908580567,tail
db15k_mhyper_native,Equal-z,seed,1.0,19804,0.01462351320668073,
db15k_mhyper_native,Equal-z,seed,2.0,19804,0.011301929360913463,
db15k_mhyper_native,Equal-z,seed,3.0,19804,0.01529835981400778,
db15k_mhyper_native,Equal-z,direction,,29706,0.005181850746182336,head
db15k_mhyper_native,Equal-z,direction,,29706,0.022300684174885645,tail
db15k_mhyper_native,Equal-z,seed_direction,1.0,9902,0.005702429119988541,head
db15k_mhyper_native,Equal-z,seed_direction,1.0,9902,0.023544597293372917,tail
db15k_mhyper_native,Equal-z,seed_direction,2.0,9902,0.005785876136660773,head
