split,dataset,pair,variant_id,variant,seed,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,fallback_rate,changed_from_anchor_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
test,MKG-W,M-Hyper + NativE,C_no_bound,No Bound,3,8548,0.37166403973559675,0.36369150961255176,0.00797253012304512,0.24017313991576977,0.34160037435657464,0.04316581575712531,0.0,0.9721572297613477,0.3209347215722976,0.5499999999999999,0.3284978942442677,2053,2920,3575,4274
test,MKG-W,M-Hyper + NativE,D_no_fallback,No Fallback,1,8548,0.37171664891357686,0.3656807730096404,0.006035875903936403,0.200280767430978,0.3283809078146935,0.03177193828881896,0.0,0.939167056621432,0.20825339260645762,0.4,0.1941974730931212,1712,2807,4029,4274
test,MKG-W,M-Hyper + NativE,D_no_fallback,No Fallback,2,8548,0.3685800871006858,0.3635419400376622,0.005038147063023567,0.1991109031352363,0.3316565278427702,0.03230700518019542,0.0,0.9432615816565278,0.2040243331773514,0.4,0.19279363593823118,1702,2835,4011,4274
test,MKG-W,M-Hyper + NativE,D_no_fallback,No Fallback,3,8548,0.3702321777676846,0.36369150961255176,0.006540668155132872,0.200280767430978,0.3361020121665887,0.034499451337400226,0.0,0.9452503509592888,0.2110786148806738,0.4,0.19384651380439868,1712,2873,3963,4274
dev,MKG-W,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,1,8552,0.3552064406148461,0.3527399793479298,0.002466461266916321,0.06349391955098223,0.2365528531337699,0.023856510312719438,0.254911131898971,0.33056594948550044,0.06549929840972872,0.25,0.5266604303086997,543,2023,5986,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,2,8552,0.3550530143371345,0.3528303737305675,0.0022226406065669322,0.07448550046772685,0.2684752104770814,0.024743908971041086,0.2257951356407858,0.38528999064546304,0.08035547240411599,0.30000000000000004,0.48947614593077643,637,2296,5619,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,3,8552,0.3553528007554114,0.3528955430218128,0.002457257733598612,0.07027595884003741,0.24789522918615528,0.026318674033526817,0.24462114125350795,0.35465388213283444,0.0746024321796071,0.30000000000000004,0.49812909260991584,601,2120,5831,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,1,8552,0.3424527447471703,0.3527399793479298,-0.010287234600759452,0.24391955098222637,0.4327642656688494,0.10914910742950533,0.0,0.9780168381665107,0.4313669317118803,0.65,0.0,2086,3701,2765,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,2,8552,0.3458667330814689,0.3528303737305675,-0.0069636406490986204,0.23596819457436857,0.43194574368568756,0.10109087801115119,0.0,0.977198316183349,0.44467376052385404,0.7,0.0,2018,3694,2840,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,3,8552,0.34673335904179414,0.3528955430218128,-0.006162183980018614,0.23795603367633303,0.4341674462114125,0.10601264000641382,0.0,0.9784845650140318,0.44107811038353606,0.7,0.0,2035,3713,2804,4276
